"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-11-30,61639,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,1064000,-0.0076478268979668,-0.0210690955929708,-0.0633802816901408,,,"2017-12","2017-Q4",1138900,-0.0657652120467117,"2017-03"
2018-11-30,84654,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,354000,0.00711237553342816,0.0166570936243538,0.0192916786639793,,,"2018-11","2018-Q4",354000,0,"2018-11"
2018-11-30,61637,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,1380100,-0.00705086696884668,-0.0407978871281624,-0.131957984778917,,,"2016-12","2016-Q4",1619900,-0.148033829248719,"2013-11"
2018-11-30,91982,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,336000,-0.00267141585040071,-0.0065050266114725,0.0473815461346633,,,"2018-09","2018-Q3",338400,-0.00709219858156028,"2018-07"
2018-11-30,84616,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,433200,0.0053376653515897,0.00300995600833526,0.0171401737497065,,,"2018-11","2018-Q4",433200,0,"2018-11"
2018-11-30,93144,"79936","TX","El Paso","El Paso County","El Paso",5,126500,0.00158353127474268,0.0160642570281124,0.048922056384743,,,"2007-10","2007-Q4",132400,-0.0445619335347432,"2007-05"
2018-11-30,91940,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",6,180200,0.00501952035694367,0.0129286115795391,0.0556531927357938,,,"2018-11","2018-Q4",180200,0,"2018-11"
2018-11-30,91733,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,171500,0.00763807285546416,0.0208333333333333,0.0566851509550216,,,"2018-11","2018-Q4",171500,0,"2018-11"
2018-11-30,61616,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,969200,-0.00909927410285247,-0.0319616460247703,-0.0362931291637665,,,"2017-10","2017-Q4",1010200,-0.0405860225697882,"2017-05"
2018-11-30,61807,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,425400,0.00401227283455275,0.0196548418024928,0.120653319283456,,,"2018-11","2018-Q4",425400,0,"2018-11"
2018-11-30,84640,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",10,237400,0.00211059518784297,-0.00710999581764952,0.000421407501053519,,,"2007-01","2007-Q1",269900,-0.120414968506854,"2004-08"
2018-11-30,62037,"11226","NY","New York-Newark-Jersey City","Kings County","New York",11,827800,0.00266472868217054,0.00290768112430337,0.17285349957495,,,"2018-11","2018-Q4",827800,0,"2018-11"
2018-11-30,97564,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",12,1277900,0.00860299921073402,0.0265081532653225,0.0247794707297514,,,"2018-11","2018-Q4",1277900,0,"2018-11"
2018-11-30,61630,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,1018300,-0.00488615264340858,-0.00885730971384076,-0.0115511551155116,,,"2017-02","2017-Q1",1089600,-0.0654368575624082,"2016-01"
2018-11-30,74101,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",14,218000,0.00832562442183164,0.03366524419156,0.13423517169615,,,"2018-11","2018-Q4",218000,0,"2018-11"
2018-11-30,92593,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",15,248100,0.00323493732308937,0.00771730300568643,0.043313708999159,,,"2018-11","2018-Q4",248100,0,"2018-11"
2018-11-30,71831,"32162","FL","The Villages","Sumter County","The Villages",16,263400,0.00495993895459748,0.0189555125725338,0.0707317073170732,,,"2018-11","2018-Q4",263400,0,"2018-11"
2018-11-30,62087,"11375","NY","New York-Newark-Jersey City","Queens County","New York",17,983000,0.0122541447842653,0.0199211454658643,0.0332142106369561,,,"2018-11","2018-Q4",983000,0,"2018-11"
2018-11-30,62045,"11235","NY","New York-Newark-Jersey City","Kings County","New York",18,712800,0.00253164556962025,-0.00335570469798658,0.0150954144118485,,,"2018-06","2018-Q2",725500,-0.0175051688490696,"2018-01"
2018-11-30,84646,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",19,395900,0.0135688684075781,0.0195724954931754,0.0412940557601263,,,"2018-11","2018-Q4",395900,0,"2018-11"
2018-11-30,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",20,647600,0.00809464508094645,0.0266328471781864,0.0942886110172356,,,"2018-11","2018-Q4",647600,0,"2018-11"
2018-11-30,74242,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",21,261300,0.00849093014280201,0.027122641509434,0.0978991596638656,,,"2018-11","2018-Q4",261300,0,"2018-11"
2018-11-30,61643,"10029","NY","New York-Newark-Jersey City","New York County","New York",22,791800,-0.000378740058073476,0.0223369916074887,-0.00189083574940124,,,"2018-05","2018-Q2",796800,-0.00627510040160643,"2018-04"
2018-11-30,61623,"10009","NY","New York-Newark-Jersey City","New York County","New York",23,1142200,-0.00131153274460086,-0.009967929271041,0.0135770698376076,,,"2017-06","2017-Q2",1221000,-0.0645372645372645,"2016-10"
2018-11-30,84620,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",24,395300,0.00177394830207805,0.00662083015024191,0.0243586421352682,,,"2018-04","2018-Q2",395900,-0.0015155342258146,"2018-03"
2018-11-30,61625,"10011","NY","New York-Newark-Jersey City","New York County","New York",25,1657500,-0.00486311239193084,-0.00742559434696688,-0.0567916690377283,,,"2016-08","2016-Q3",1817800,-0.0881835185388932,"2014-07"
2018-11-30,92036,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",26,267200,-0.00074794315632012,0.00678221552373775,0.0696557245796637,,,"2018-10","2018-Q4",267400,-0.00074794315632012,"2018-10"
2018-11-30,92045,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",27,264500,0.00341426403641882,0.00646879756468798,0.0546251993620415,,,"2018-11","2018-Q4",264500,0,"2018-11"
2018-11-30,61703,"10128","NY","New York-Newark-Jersey City","New York County","New York",28,1219200,-0.0120735758852605,-0.0249520153550864,0.0215333054042731,,,"2018-08","2018-Q3",1250400,-0.0249520153550864,"2018-04"
2018-11-30,66126,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",29,675600,0.00715563506261181,0.0292504570383912,0.107359449270611,,,"2018-11","2018-Q4",675600,0,"2018-11"
2018-11-30,92271,"78130","TX","San Antonio-New Braunfels","Comal County","New Braunfels",30,227500,-0.000439367311072056,0.00530269553689792,0.0675739089629282,,,"2018-10","2018-Q4",227600,-0.000439367311072056,"2018-10"
2018-11-30,69816,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",31,206400,0.0102790014684288,0.030969030969031,0.0943796394485684,,,"2018-11","2018-Q4",206400,0,"2018-11"
